5	3	3
[DEMANDS]
(1,1):	806	760	970
(1,2):	629	920	907
(1,3):	954	811	917
(2,1):	860	650	904
(2,2):	520	812	733
(2,3):	824	634	804
(3,1):	973	740	981
(3,2):	738	866	967
(3,3):	767	738	902
(4,1):	988	907	905
(4,2):	974	838	502
(4,3):	798	702	877
(5,1):	552	947	635
(5,2):	943	841	915
(5,3):	867	585	516
[SETUP_TIME]
1:	10.65	8.65	11.72
2:	9.23	9.97	11.22
3:	8.14	8.11	8.02
4:	11.22	10.99	10.94
5:	11.0	11.11	10.87
[PRODUCTION_TIME]
1:	0.06	0.09	0.07
2:	0.09	0.05	0.08
3:	0.02	0.03	0.03
4:	0.08	0.09	0.07
5:	0.1	0.03	0.04
[CAPACITY]
1:	228.63	204.51	342.4
2:	355.78	238.65	236.53
3:	210.0	396.88	205.13
[TRANSFER_COST]
(1,1):	3.69	4.94	3.86
(1,2):	4.16	1.34	4.87
(1,3):	4.59	3.3	3.05
(2,1):	1.24	1.94	3.6
(2,2):	4.06	4.35	4.18
(2,3):	1.15	1.79	3.02
(3,1):	1.17	1.96	4.69
(3,2):	3.91	2.01	2.08
(3,3):	3.92	4.67	2.64
[SETUP_COST]
(1,1):	3.78	5.35	4.36
(1,2):	5.66	1.21	2.33
(1,3):	9.33	7.46	5.51
(2,1):	3.43	7.72	3.24
(2,2):	7.02	6.73	7.57
(2,3):	6.48	5.82	4.77
(3,1):	1.29	6.1	6.61
(3,2):	5.35	7.85	1.01
(3,3):	4.54	6.65	7.57
(4,1):	2.34	7.52	5.31
(4,2):	1.98	7.43	8.13
(4,3):	9.95	3.5	1.96
(5,1):	3.84	6.5	3.62
(5,2):	8.56	9.32	1.54
(5,3):	3.35	9.89	1.58
[INVENTORY_COST]
(1,1):	1.26	1.33	1.76
(1,2):	1.18	1.01	1.61
(1,3):	1.43	1.74	1.56
(2,1):	1.04	2.0	1.35
(2,2):	1.02	1.64	1.23
(2,3):	1.82	1.54	1.45
(3,1):	1.07	1.36	1.92
(3,2):	1.61	1.56	1.33
(3,3):	1.82	1.38	1.5
(4,1):	1.65	1.1	1.41
(4,2):	1.43	1.17	1.78
(4,3):	1.9	1.98	1.71
(5,1):	1.85	1.41	1.61
(5,2):	1.34	1.5	1.64
(5,3):	1.84	1.73	1.08
[PRODUCTION_COST]
(1,1):	1.37	1.79	1.34
(1,2):	1.44	1.2	1.88
(1,3):	1.37	1.68	1.88
(2,1):	1.79	1.26	1.15
(2,2):	1.35	1.23	1.51
(2,3):	1.98	1.45	1.47
(3,1):	1.82	1.58	1.83
(3,2):	1.04	1.36	1.54
(3,3):	1.75	1.53	1.06
(4,1):	1.95	1.25	1.43
(4,2):	1.75	1.45	1.39
(4,3):	1.47	1.2	1.17
(5,1):	1.6	1.86	1.84
(5,2):	1.1	1.34	1.74
(5,3):	1.61	1.96	1.11
[EOD]
